date        value avg07 avg14 avg30 avg60 avg90
2015-04-02  101   96    103   113   135   135
2015-04-03  105   98    102   111   134   134
2015-04-04  116   103   104   111   133   133
2015-04-05  118   106   106   111   133   133
2015-04-06  124   109   107   112   132   132
2015-04-07  97    110   107   110   132   132
2015-04-08  111   110   107   110   131   131
2015-04-09  97    110   106   109   130   130
2015-04-10  102   109   105   107   129   129
2015-04-11  96    106   105   107   129   129
2015-04-12  104   104   105   106   128   128
2015-04-13  105   102   105   106   127   127
2015-04-14  105   103   106   106   127   127
2015-04-15  125   105   108   106   127   127
2015-04-16  102   106   108   106   126   126
2015-04-17  102   106   107   106   126   126
2015-04-18  97    106   106   105   125   125
2015-04-19  96    105   105   105   123   125
2015-04-20  119   107   104   105   122   124
2015-04-21  101   106   104   105   120   124
2015-04-22  96    102   103   105   119   123
2015-04-23  93    101   103   105   117   123
2015-04-24  108   101   104   105   115   123
2015-04-25  114   104   105   105   114   122
2015-04-26  95    104   104   104   113   122
2015-04-27  110   102   105   105   112   122
2015-04-28  114   104   105   105   111   122
2015-04-29  104   105   104   105   110   121
2015-04-30  99    106   103   105   110   121
