date        value avg07 avg14 avg30 avg60 avg90
2015-02-18  182   182   182   182   182   182
2015-02-19  190   186   186   186   186   186
2015-02-20  181   184   184   184   184   184
2015-02-21  154   177   177   177   177   177
2015-02-22  186   179   179   179   179   179
2015-02-23  190   181   181   181   181   181
2015-02-24  165   178   178   178   178   178
2015-02-25  160   175   176   176   176   176
2015-02-26  151   170   173   173   173   173
2015-02-27  141   164   170   170   170   170
2015-02-28  142   162   167   167   167   167
2015-03-01  134   155   165   165   165   165
2015-03-02  145   148   163   163   163   163
2015-03-03  133   144   161   161   161   161
2015-03-04  138   141   158   159   159   159
2015-03-06  122   136   151   157   157   157
2015-03-08  132   134   146   156   156   156
2015-03-11  144   133   138   155   155   155
2015-03-13  131   136   136   154   154   154
2015-03-16  119   131   131   152   152   152
2015-03-19  109   120   126   150   150   150
2015-03-20  107   112   124   146   148   148
2015-03-21  103   110   121   142   146   146
2015-03-22  97    107   116   138   144   144
2015-03-23  111   105   115   136   143   143
2015-03-24  96    104   113   132   141   141
2015-03-25  109   105   109   128   140   140
2015-03-26  115   105   110   126   139   139
2015-03-28  96    104   106   121   137   137
2015-03-31  90    103   103   117   136   136
2015-04-02  101   96    103   113   135   135
2015-04-03  105   98    102   111   134   134
2015-04-04  116   103   104   111   133   133
2015-04-05  118   106   106   111   133   133
2015-04-06  124   109   107   112   132   132
2015-04-07  97    110   107   110   132   132
2015-04-08  111   110   107   110   131   131
2015-04-09  97    110   106   109   130   130
2015-04-10  102   109   105   107   129   129
2015-04-11  96    106   105   107   129   129
2015-04-12  104   104   105   106   128   128
2015-04-13  105   102   105   106   127   127
2015-04-14  105   103   106   106   127   127
2015-04-15  125   105   108   106   127   127
2015-04-16  102   106   108   106   126   126
2015-04-17  102   106   107   106   126   126
2015-04-18  97    106   106   105   125   125
2015-04-19  96    105   105   105   123   125
2015-04-20  119   107   104   105   122   124
2015-04-21  101   106   104   105   120   124
2015-04-22  96    102   103   105   119   123
2015-04-23  93    101   103   105   117   123
2015-04-24  108   101   104   105   115   123
2015-04-25  114   104   105   105   114   122
2015-04-26  95    104   104   104   113   122
2015-04-27  110   102   105   105   112   122
2015-04-28  114   104   105   105   111   122
2015-04-29  104   105   104   105   110   121
2015-04-30  99    106   103   105   110   121
